SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021
11033,Coolringdon,1
11034,Coolumbooka,1
11035,Coolumburra,1
11036,Cooma (NSW),1
11037,Coomba Bay,1
11038,Coomba Park,1
11039,Coombadjha,1
11040,Coombell,1
11041,Coomealla,1
11042,Coomoo Coomoo,1
11043,Coonabarabran,1
11044,Coonamble,1
11045,Coongbar,1
11046,Cooperabung,1
11047,Coopernook,1
11048,Coopers Gully,1
11049,Coopers Shoot,1
11050,Cooplacurripa,1
11051,Coorabell,1
11052,Cooranbong,1
11053,Cootamundra,1
11054,Cootralantra,1
11055,Cooyal,1
11056,Copacabana,1
11057,Cope,1
11058,Copeland,1
11059,Copeton,1
11060,Copmanhurst,1
11061,Coppabella (NSW),1
11062,Copperhannia,1
11063,Coraki,1
11064,Coralville,1
11065,Coramba,1
11066,Corang,1
11067,Corangula,1
11068,Corbie Hill,1
11069,Cordeaux,1
11070,Cordeaux Heights,1
11071,Coree,1
11072,Coreen,1
11073,Corindi Beach,1
11074,Corinella (NSW),1
11075,Corlette,1
11076,Corndale (NSW),1
11077,Corney Town,1
11078,Cornwallis,1
11079,Corobimilla,1
11080,Corowa,1
11081,Corrabare,1
11082,Corrimal,1
11083,Corrong,1
11084,Corrowong,1
11085,Corunna,1
11086,Cottage Point,1
11087,Cottonvale (NSW),1
11088,Cougal,1
11089,Countegany,1
11090,Courabyra,1
11091,Couradda,1
11092,Couragago,1
11093,Couridjah,1
11094,Coutts Crossing,1
11095,Cow Flat,1
11096,Cowabbie,1
11097,Cowan,1
11098,Cowper,1
11099,Cowra,1
11100,Coxs Creek,1
11101,Coxs Crown,1
11102,Crabbes Creek,1
11103,Crackenback,1
11104,Craigie (NSW),1
11105,Cranebrook,1
11106,Crangan Bay,1
11107,Craven,1
11108,Craven Plateau,1
11109,Crawford River,1
11110,Crawney,1
11111,Creel Bay,1
11112,Creewah,1
11113,Cremorne (NSW),1
11114,Cremorne Point,1
11115,Crescent Head,1
11116,Crestwood,1
11117,Cringila,1
11118,Croki,1
11119,Cromer (NSW),1
11120,Cronulla,1
11121,Crooble,1
11122,Croobyar,1
11123,Crooked Corner,1
11124,Crookwell,1
11125,Croom,1
11126,Croppa Creek,1
11127,Cross Roads (NSW),1
11128,Crosslands,1
11129,Croudace Bay,1
11130,Crowdy Bay,1
11131,Crowdy Head,1
11132,Crows Nest (NSW),1
11133,Crowther,1
11134,Crowther Island,1
